Ticker,Date,Close
AAPL,2020-09-21,107.07678985595703
GOOG,2020-09-21,71.0716323852539
MSFT,2020-09-21,194.2004852294922
AAPL,2020-09-22,108.75956726074219
GOOG,2020-09-22,72.77498626708984
MSFT,2020-09-22,198.87960815429688
AAPL,2020-09-23,104.1975326538086
GOOG,2020-09-23,70.27955627441406
MSFT,2020-09-23,192.33078002929688
AAPL,2020-09-24,105.26753234863281
GOOG,2020-09-24,70.92910766601562
MSFT,2020-09-24,194.82376098632812
AAPL,2020-09-25,109.21673583984375
GOOG,2020-09-25,71.75695037841797
MSFT,2020-09-25,199.2631072998047
AAPL,2020-09-28,111.82364654541016
GOOG,2020-09-28,72.7282943725586
MSFT,2020-09-28,200.81640625
AAPL,2020-09-29,110.97738647460938
GOOG,2020-09-29,72.9671630859375
MSFT,2020-09-29,198.72613525390625
AAPL,2020-09-30,112.65043640136719
GOOG,2020-09-30,72.98058319091797
MSFT,2020-09-30,201.6697235107422
AAPL,2020-10-01,113.60370635986328
GOOG,2020-10-01,73.99811553955078
MSFT,2020-10-01,203.71206665039062
AAPL,2020-10-02,109.93656921386719
GOOG,2020-10-02,72.42537689208984
MSFT,2020-10-02,197.70021057128906
AAPL,2020-10-05,113.32161712646484
GOOG,2020-10-05,73.7959976196289
MSFT,2020-10-05,201.71766662597656
AAPL,2020-10-06,110.07276153564453
GOOG,2020-10-06,72.17806243896484
MSFT,2020-10-06,197.43173217773438
AAPL,2020-10-07,111.94036102294922
GOOG,2020-10-07,72.51823425292969
MSFT,2020-10-07,201.19033813476562
AAPL,2020-10-08,111.83335876464844
GOOG,2020-10-08,73.79153442382812
MSFT,2020-10-08,201.9094696044922
AAPL,2020-10-09,113.77881622314453
GOOG,2020-10-09,75.2460708618164
MSFT,2020-10-09,206.9241180419922
AAPL,2020-10-12,121.00609588623047
GOOG,2020-10-12,77.92424774169922
MSFT,2020-10-12,212.283935546875
AAPL,2020-10-13,117.79611206054688
GOOG,2020-10-13,78.04988098144531
MSFT,2020-10-13,213.68377685546875
AAPL,2020-10-14,117.8836669921875
GOOG,2020-10-14,77.87110900878906
MSFT,2020-10-14,211.76620483398438
AAPL,2020-10-15,117.41676330566406
GOOG,2020-10-15,77.42664337158203
MSFT,2020-10-15,210.61558532714844
AAPL,2020-10-16,115.77285766601562
GOOG,2020-10-16,78.11592864990234
MSFT,2020-10-16,210.61558532714844
AAPL,2020-10-19,112.81581115722656
GOOG,2020-10-19,76.208984375
MSFT,2020-10-19,205.3995819091797
AAPL,2020-10-20,114.30408477783203
GOOG,2020-10-20,77.26773834228516
MSFT,2020-10-20,205.8118896484375
AAPL,2020-10-21,113.68153381347656
GOOG,2020-10-21,79.12403106689453
MSFT,2020-10-21,205.95570373535156
AAPL,2020-10-22,112.59208679199219
GOOG,2020-10-22,80.21755981445312
MSFT,2020-10-22,206.04197692871094
AAPL,2020-10-23,111.90143585205078
GOOG,2020-10-23,81.4923324584961
MSFT,2020-10-23,207.3268280029297
AAPL,2020-10-26,111.91118621826172
GOOG,2020-10-26,78.98200225830078
MSFT,2020-10-26,201.43003845214844
AAPL,2020-10-27,113.41888427734375
GOOG,2020-10-27,79.6678237915039
MSFT,2020-10-27,204.46954345703125
AAPL,2020-10-28,108.16621398925781
GOOG,2020-10-28,75.31558990478516
MSFT,2020-10-28,194.33470153808594
AAPL,2020-10-29,112.17381286621094
GOOG,2020-10-29,77.82939147949219
